Gas,P_D_bar,Material,V_D_m3,W_g_kg,W_m_kg,W_d_kg,DeltaV_m_s,Costo_€
H2,16.93939393939394,Al7075T6,0.4134454092152497,0.5695902829110463,6.559958730719416,7.129549013630462,166.78923193427397,42.77729408178277
H2,16.93939393939394,Acero,0.4134454092152497,0.5695902829110463,15.932995849523135,16.502586132434182,165.79603178282753,74.26163759595381
H2,16.93939393939394,Titanio6AL4V,0.4134454092152497,0.5695902829110463,4.733675558106676,5.303265841017723,166.98413878836655,159.0979752305317
H2,17.090909090909093,Al7075T6,0.3993394587131941,0.5550778772101451,6.3928196742123085,6.947897551422454,166.8085979770581,41.68738530853472
H2,17.090909090909093,Acero,0.3993394587131941,0.5550778772101451,15.5270442265121,16.082122103722245,165.84033204275272,72.3695494667501
H2,17.090909090909093,Titanio6AL4V,0.3993394587131941,0.5550778772101451,4.613067777010782,5.168145654220927,166.99857736067977,155.04436962662783
H2,17.242424242424242,Al7075T6,0.3861642868651837,0.5415230700378421,6.236709258847209,6.778232328885051,166.826690219177,40.66939397331031
H2,17.242424242424242,Acero,0.3861642868651837,0.5415230700378421,15.147879249691174,15.689402319729016,165.8817305553926,70.60231043878058
H2,17.242424242424242,Titanio6AL4V,0.3861642868651837,0.5415230700378421,4.500418279062095,5.041941349099937,167.01206546281102,151.2582404729981
H2,17.393939393939394,Al7075T6,0.3738307101527857,0.5288341081017128,6.090570763978123,6.619404872079836,166.84363033533583,39.716429232479015
H2,17.393939393939394,Acero,0.3738307101527857,0.5288341081017128,14.792934328879246,15.321768436980959,165.92050338398897,68.94795796641431
H2,17.393939393939394,Titanio6AL4V,0.3738307101527857,0.5288341081017128,4.394964533138235,4.923798641239948,167.02469395622236,147.71395923719842
H2,17.545454545454547,Al7075T6,0.36226058603787437,0.5169305972294109,5.953478291694557,6.470408888923968,166.859524981781,38.822453333543805
H2,17.545454545454547,Acero,0.36226058603787437,0.5169305972294109,14.459960619507244,14.976891216736655,165.95689264976195,67.39601047531495
H2,17.545454545454547,Titanio6AL4V,0.36226058603787437,0.5169305972294109,4.296038409988987,4.812969007218398,167.0365424786625,144.38907021655194
H2,17.6969696969697,Al7075T6,0.35138515565547046,0.5057417973071121,5.824617129665184,6.330358926972297,166.87446804412122,37.98215356183378
H2,17.6969696969697,Acero,0.35138515565547046,0.5057417973071121,14.146979327389637,14.652721124696749,165.99111159281944,65.93724506113537
H2,17.6969696969697,Titanio6AL4V,0.35138515565547046,0.5057417973071121,4.203052012036332,4.708793809343445,167.04768112526938,141.26381428030334
H2,17.848484848484848,Al7075T6,0.3411436763300414,0.4952052153925251,5.703267548051396,6.198472763443921,166.88854249316165,37.19083658066353
H2,17.848484848484848,Acero,0.3411436763300414,0.4952052153925251,13.852242354252946,14.347447569645471,166.0233487537669,64.56351406340463
H2,17.848484848484848,Titanio6AL4V,0.3411436763300414,0.4952052153925251,4.115485981204205,4.61069119659673,167.05817183630586,138.3207358979019
H2,18.0,Al7075T6,0.3314822864594653,0.48526543789111226,5.588791349706585,6.074056787597697,166.90182192625213,36.44434072558618
H2,18.0,Acero,0.3314822864594653,0.48526543789111226,13.574199630515105,14.059465068406217,166.05377144922966,63.267592807827974
H2,18.0,Titanio6AL4V,0.3314822864594653,0.48526543789111226,4.032879793523147,4.518145231414259,167.0680695495673,135.54435694242778
H2,18.151515151515152,Al7075T6,0.3223530579698078,0.4758731557078714,5.480620642870716,5.956493798578587,166.9143718546114,35.73896279147152
H2,18.151515151515152,Acero,0.3223530579698078,0.4758731557078714,13.311471846118373,13.787345001826244,166.08252867657987,62.043052508218096
H2,18.151515151515152,Titanio6AL4V,0.3223530579698078,0.4758731557078714,3.954823657490729,4.4306968131986,167.0774231627337,132.92090439595802
H2,18.3030303030303,Al7075T6,0.3137132011493895,0.46698434616913564,5.378248419381716,5.845232765550852,166.92625078416717,35.07139659330511
H2,18.3030303030303,Acero,0.3137132011493895,0.46698434616913564,13.062827566647762,13.529811912816898,166.1097535543252,60.88415360767604
H2,18.3030303030303,Titanio6AL4V,0.3137132011493895,0.46698434616913564,3.8809517152954824,4.347936061464618,167.08627634126304,130.43808184393853
H2,18.454545454545453,Al7075T6,0.3055243940194133,0.4585595830693836,5.281220608499815,5.739780191569199,166.93751112754512,34.438681149415196
H2,18.454545454545453,Acero,0.3055243940194133,0.4585595830693836,12.827163933455958,13.285723516525342,166.1355653825046,59.78575582436404
H2,18.454545454545453,Titanio6AL4V,0.3055243940194133,0.4585595830693836,3.810936308845223,4.269495891914607,167.09466819998954,128.08487675743822
H2,18.606060606060606,Al7075T6,0.2977522140647093,0.4505634520276195,5.189129343579854,5.639692795607473,166.94819997719694,33.83815677364484
H2,18.606060606060606,Acero,0.2977522140647093,0.4505634520276195,12.603490309584522,13.054053761612142,166.16007139037893,58.74324192725464
H2,18.606060606060606,Titanio6AL4V,0.2977522140647093,0.4505634520276195,3.7444831209882103,4.19504657301583,167.1026338808798,125.8513971904749
H2,18.757575757575758,Al7075T6,0.2903656545493357,0.4429640528658734,5.101607230975445,5.544571283841319,166.95835976372962,33.267427703047915
H2,18.757575757575758,Acero,0.2903656545493357,0.4429640528658734,12.390914359931463,12.833878412797336,166.1833682254199,57.75245285758801
H2,18.757575757575758,Titanio6AL4V,0.2903656545493357,0.4429640528658734,3.681327039946231,4.124291092812104,167.11020504494198,123.72873278436313
H2,18.909090909090907,Al7075T6,0.28333671108408914,0.43573257426388273,5.018322451346317,5.4540550256102,166.96802881883917,32.7243301536612
H2,18.909090909090907,Acero,0.28333671108408914,0.43573257426388273,12.188630153180998,12.62436272744488,166.20554322719482,56.80963227350196
H2,18.909090909090907,Titanio6AL4V,0.28333671108408914,0.43573257426388273,3.621228624411005,4.0569611986748875,167.11741029281666,121.70883596024663
H2,19.06060606060606,Al7075T6,0.27664002682306127,0.42884292873218216,4.938974555651439,5.367817484383621,166.97724185859647,32.20690490630172
H2,19.06060606060606,Acero,0.27664002682306127,0.42884292873218216,11.99590795100394,12.424750879736122,166.22667552155136,55.91137895881255
H2,19.06060606060606,Titanio6AL4V,0.27664002682306127,0.42884292873218216,3.5639710699268408,3.992813998659023,167.12427552582204,119.78441995977069
H2,19.21212121212121,Al7075T6,0.27025258681329306,0.4222714381546125,4.863290843549031,5.285562281703643,166.98603039992705,31.713373690221857
H2,19.21212121212121,Acero,0.27025258681329306,0.4222714381546125,11.812085411822824,12.234356849977438,166.2468369639992,55.05460582489847
